,Unnamed: 0,xs_70,xs_75,xs_80,xs_85,xs_90,xs_110,xs_130,xs_150,xs_170,xs_190,xs_210,xs_220,xs_240,xs_250,xs_260,xs_270,xs_280,xs_290,xs_300,xs_310,xs_320,xs_330,xs_340,xs_350,xs_360,xs_370,xs_380,laL
0,0,0.007836075756289999,0.007474821263369999,0.007075466523600001,0.0067536191246,0.0064510490936000005,0.0054172972750200004,0.00450514743728,0.0037592106823699997,0.0032054071089699997,0.00267848607156,0.00227665480784,0.00209697543768,0.0017517511173099998,0.00158,0.001468,0.001332,0.001224,0.0011070000000000001,0.001029,0.0009433,0.0008677,0.0007995,0.0007326,0.0006703,0.0006178999999999999,0.0005667000000000001,0.0005198,0.01
1,1,0.00820650858184,0.00777080218416,0.00734962798323,0.0069370100351000006,0.006622683826199999,0.00552263250849,0.004599057767020001,0.00384839961038,0.00321932258602,0.00266578919844,0.00224653784862,0.0020644385241300003,0.00175533185608,0.0016079999999999998,0.00147,0.0013390000000000001,0.001236,0.001125,0.001033,0.0009506,0.0008759,0.0008027999999999999,0.0007306,0.0006711,0.0006217000000000001,0.000572,0.0005275000000000001,0.02
2,2,0.00977036213144,0.00881650013264,0.00813644023049,0.0076355135517600006,0.00719752367893,0.00577411696313,0.0047474250205500005,0.00397919891226,0.0032831141805400002,0.00278081244384,0.00231507054359,0.00210931366709,0.0017759012402600001,0.001623,0.0014869999999999998,0.001369,0.001248,0.001145,0.001049,0.0009613,0.0008975,0.0008237,0.0007599,0.0006952999999999999,0.0006369,0.0005841,0.0005298999999999999,0.05
3,3,0.011420910156,0.009917232133719998,0.008989814960799999,0.00827525303364,0.00762911789735,0.00604103126321,0.00491831776786,0.00407360249129,0.00339849158687,0.00282520633474,0.0023556712688200003,0.0021598208425100004,0.0018042345115499999,0.0016489999999999999,0.001523,0.001389,0.001274,0.001164,0.0010539999999999998,0.0009732999999999999,0.0008820999999999999,0.0008160999999999999,0.0007539,0.0006954,0.0006303,0.0005748,0.0005391,0.07
4,4,0.0141261425284,0.011538058002200001,0.010077250837200001,0.009138744601079999,0.008301565420160001,0.006405686669859999,0.005105581024479999,0.0041903605300399995,0.00346030010049,0.0028745840313,0.0023999529647299998,0.0021848377147399996,0.00184266632757,0.001686,0.001536,0.0014199999999999998,0.001299,0.001183,0.0010810000000000001,0.0009947,0.0009072,0.0008269999999999999,0.0007636,0.0006952000000000001,0.0006396,0.0005851,0.0005358,0.1
5,5,0.0199244023107,0.0150710532694,0.012550047708399998,0.0109981420566,0.00976696266413,0.0070938080392,0.005426792049510001,0.00442523806302,0.0036370328580100004,0.0029741967082199997,0.00249216109259,0.00225890914297,0.0018830996019700002,0.0017219999999999998,0.00157,0.001446,0.001309,0.001207,0.001102,0.0009938,0.0009115999999999999,0.0008335,0.0007761,0.0007062,0.0006497000000000001,0.0006007,0.0005537000000000001,0.15
6,6,0.0271880899908,0.019741517602799998,0.015811494557299997,0.0133155110342,0.0117125410659,0.007996623412189999,0.00602154446212,0.00473041583628,0.0038587394240500003,0.00315903944048,0.00254254399698,0.0023399920494399998,0.00194357104849,0.0017809999999999998,0.001648,0.001467,0.0013460000000000002,0.00123,0.001134,0.001036,0.0009539999999999999,0.0008832000000000001,0.0008031000000000001,0.0007327000000000001,0.000667,0.0006152999999999999,0.0005611,0.2
7,7,0.0368390612651,0.0252109121861,0.0194860982444,0.0161147716505,0.013756948174799999,0.008815697948040001,0.006454895607800001,0.0050120300819999995,0.00405513563802,0.00323430260427,0.00265472306713,0.00243026454045,0.0019829645914000004,0.001836,0.001678,0.001523,0.001401,0.0012640000000000001,0.001141,0.001048,0.0009617000000000001,0.0008759,0.0008055,0.0007529,0.0006865,0.0006241,0.0005774,0.25
8,8,0.0477417695661,0.0316975111695,0.023874079774400002,0.019237695562599997,0.0161976627504,0.00998088027677,0.00712239023152,0.00538841435699,0.00422531855685,0.0034186537760900002,0.0027873165818200004,0.00250914774171,0.00207481178219,0.001855,0.0016920000000000001,0.001558,0.00141,0.001292,0.001183,0.0010810000000000001,0.000978,0.0008908,0.0008302,0.0007482,0.0006915000000000001,0.0006312000000000001,0.0005751,0.3
9,9,0.059759464065399996,0.0391662561018,0.028821592883000003,0.022677722633000004,0.0188525187018,0.0111328469037,0.00775519019637,0.0057477354024200004,0.004519342910729999,0.00355335003647,0.0028961627712800002,0.0026179762220300004,0.0021114508465,0.0019379999999999998,0.0017620000000000001,0.001596,0.00146,0.001333,0.0012050000000000001,0.001105,0.001013,0.0009298,0.0008517999999999999,0.0007766,0.0007064,0.0006533999999999999,0.0005935,0.35
10,10,0.0747956609518,0.0471382414448,0.034498362175800004,0.0269670368818,0.021829504768400003,0.0123661452119,0.00837222196693,0.00609279302469,0.00471057123249,0.00377991267025,0.0029860605953099997,0.0026812129109800003,0.0021955879572399997,0.001984,0.001805,0.001639,0.001495,0.0013570000000000001,0.0012619999999999999,0.001143,0.001044,0.0009417999999999999,0.0008667,0.0007912,0.0007323,0.0006634,0.0006037999999999999,0.4
11,11,0.09103312877969999,0.0567195719991,0.0403238163796,0.0310156215494,0.0250082748573,0.0136586156079,0.00907664301072,0.00658094533258,0.00500074299141,0.0039222600236,0.0031204184464800003,0.0027715134224199998,0.00228000711703,0.002068,0.0018559999999999998,0.0016870000000000001,0.001525,0.0013880000000000001,0.001276,0.00116,0.001064,0.0009631,0.0008762,0.0008077999999999999,0.000741,0.0006686,0.0006191,0.45
12,12,0.107349388867,0.0656615481849,0.0465501253039,0.036011824340400005,0.028576983123,0.0150524151214,0.00974113895248,0.006975099664899999,0.00531461201434,0.00406819587094,0.00324091018643,0.0029188355238299996,0.00234128604466,0.002118,0.001911,0.0017399999999999998,0.0015710000000000001,0.001438,0.001306,0.001196,0.001093,0.0009933,0.0008945,0.0008221,0.0007506,0.0006867,0.0006307999999999999,0.5
13,13,0.128043336128,0.0776237164167,0.054609731201300006,0.041175504125699994,0.0329947443675,0.0168543255501,0.010543199135399998,0.0075744426930299995,0.00555879160621,0.0043645988958700005,0.00336931176585,0.0030402861238299998,0.00243809329108,0.002199,0.0019690000000000003,0.001797,0.0016190000000000002,0.001475,0.0013449999999999998,0.001218,0.001114,0.001015,0.0009246,0.0008482000000000001,0.0007763,0.0006956,0.0006426,0.55
14,14,0.148695199269,0.090430645976,0.062674638844,0.0468132159563,0.0371150703981,0.018467720921,0.0116123492597,0.00802164436335,0.0058224937599899995,0.00456686473905,0.0035358441105599997,0.00318931593753,0.0025571899395800003,0.002314,0.002068,0.001875,0.0016690000000000001,0.001533,0.001385,0.001267,0.001147,0.001052,0.0009568,0.0008745,0.0007907999999999999,0.0007277,0.0006642999999999999,0.6
15,15,0.380151397212,0.220473347428,0.148378942205,0.10656002523,0.0813605039088,0.0363423812252,0.020356914933,0.013008952064700001,0.0090585052076,0.00652376877811,0.0048930651672100004,0.00423612392131,0.00329366179214,0.002918,0.002598,0.002333,0.002097,0.001895,0.001684,0.001516,0.001362,0.001236,0.0011279999999999999,0.0010140000000000001,0.0009170999999999999,0.0008335,0.0007685,1.0
16,16,3.24118473343,1.8021269279599998,1.1724233011299998,0.806867070297,0.603144333312,0.23287280767700003,0.114865352706,0.0646187944466,0.039699264752,0.0258472880513,0.0176354821901,0.014468145183299998,0.0104482973562,0.008917,0.007751000000000001,0.006595999999999999,0.00569,0.005011,0.004383,0.0038439999999999998,0.003358,0.0029690000000000003,0.0026219999999999998,0.00233,0.002064,0.001835,0.001638,3.0
17,17,8.89427127628,4.92561586887,3.21912245078,2.25165545869,1.66314074829,0.635800506275,0.307443775785,0.168008418494,0.0996303321782,0.062387243122500005,0.0417083022784,0.0340446574429,0.023863563644500003,0.02005,0.0169,0.01433,0.01229,0.01061,0.009136,0.007881,0.006912000000000001,0.006068,0.005273,0.004634,0.004093,0.0036130000000000003,0.003179,5.0
18,18,17.8456821254,10.0440353143,6.56851555905,4.60076987107,3.39608947093,1.29049388377,0.62990145001,0.34056143038099995,0.198830653949,0.125181831838,0.082151306954,0.0657439627299,0.045381990958599995,0.03777,0.03155,0.02671,0.02284,0.01934,0.01674,0.01432,0.01248,0.0108,0.009329,0.008116,0.007141,0.006229999999999999,0.0054670000000000005,7.0
19,19,38.1134563225,21.7394077983,14.2477022061,10.24165998,7.58446024417,2.9680190240799997,1.44282132676,0.785372567661,0.455678455194,0.281172708507,0.18131326115200003,0.14552575564200002,0.09864177735549999,0.08215,0.06913,0.0578,0.04885,0.04143,0.03501,0.0299,0.02545,0.02192,0.01896,0.016380000000000002,0.01434,0.01238,0.01096,10.0
